Hour,Wind Speed
0,0.6868006419115721
1,0.6890734032466668
2,0.681155793337347
3,0.6729286853824934
4,0.6681690243070256
5,0.6646836574727746
6,0.6563780735388874
7,0.6606129012310443
8,0.6999593028708969
9,0.7303760972498282
10,0.7468343124437448
11,0.751377979692701
12,0.7495336217315842
13,0.7440227721621321
14,0.7375273133955522
15,0.7169625021167711
16,0.6723320706845283
17,0.6531144905214509
18,0.668568588655408
19,0.6778762628985187
20,0.682130229138008
21,0.6832625373403571
22,0.6838090387748801
23,0.6852973249551232
