week,Wind Speed
1,0.5132198194059094
2,0.5561509393303404
3,0.5323684308485734
4,0.5116794879104765
5,0.534371256154208
6,0.46679312125410116
7,0.4586330257954874
8,0.4496470052748919
9,0.42845986436623784
10,0.42785680395151887
11,0.40049477085131147
12,0.39067195590164155
13,0.3448558983479863
14,0.35187918939646184
15,0.32633032098889264
16,0.3409154484713716
17,0.33706283537035303
18,0.48149126658090463
19,0.636041088309139
20,0.7814896025059243
21,0.8235734059224054
22,0.9219644648924706
23,1.065809306904437
24,1.1622860863568292
25,1.1854319711171446
26,1.1693388510554557
27,1.2573458676063825
28,1.2214237419710983
29,1.2524397512513494
30,1.2320534244889305
31,1.2270970901622185
32,1.2063582630857588
33,1.0921414871419233
34,1.0457121606324873
35,0.997773245179523
36,0.9601670209924498
37,0.9301526662997074
38,0.8590307384551991
39,0.6775365028186657
40,0.6732189593792316
41,0.568243633189963
42,0.449430278037113
43,0.46343381984551096
44,0.4107769365508353
45,0.40245729714838996
46,0.4247033122220143
47,0.4788229160515281
48,0.48954953034777965
49,0.5338019850634275
50,0.5540595433985194
51,0.5928943437812406
52,0.5412465211831861
53,0.47081115033684506
